0,サトシ,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\ダウンロード (1).jfif
1,カキ&リザードン,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\images.jfif
2,スイレン&アシマリ,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\ダウンロード (+1).jfif
3,マーマネ&トゲデマル,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\マーマネ.jfif
4,マオ&アママイコ,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\IMG_4821.png
5,リーリエ&シロン,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\20170216053515.jpg
6,グラジオ&ルガルガン,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\47.jpg
7,ククイ&ガオガエン,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\ダウンロード.jfif
8,ザオボー,C:\AL_Work\JJC_ActiveLearning_2023_9gatsu_50\Etc\FixData\画像\i1.jpg
9,ハウ,
10,コジロウ,
11,ムサシ,
12,グズマ,
